id		sentence		sentiment
211		그런거 시키지 마세요..		공포
212		나 같으면 노트7은 못쓴다		공포
213		성기 크기가 너무 작아 고민입니다..		공포
214		저 승마살이 장난 아니에요;;		공포
215		쟤네들 웃기네. 맘에 드는 결과를 얻을때까지 계속 투표할 기세네.		공포
216		450억....450억........뭐?? 450억??????		공포
217		식칼도 없는데 왠 진검승부		공포
218		교도소에서 골목 대장이 되버렸네		공포
219		우리애아빠는그스위치어디다둿을까요??		공포
220		난해하다......		공포
221		진짜..어이없네		공포
222		어이가없네..????		공포
223		아들은 비싼연봉받고 뭐한거야?		공포
224		차태현은 다알고 있었던것 같은데 진심은 무슨		공포
225		이건또 뭔 개소리??		공포
226		그럼 저 기계는 누가 만들어 줌?		공포
227		어깨 툭 치는데 사과쪼개지는 소리가 나는거지?		공포
228		정용기 의원이 실수로 반대방향으로들어갔군...		공포
229		흥민이는 원톱가면......제발......이것만은...		공포
230		배터리 바꾼게 터지는거면원인이뭐지ㅡㅡ		공포
231		물론 시즌말에 가서 떨어질꺼라 예상은 했다만,스크는 나름대로 잘 나가다가 왜 성적이 곤두박질 칠겨?		공포
232		저런 중국과 친하게 지내겠다는 더불어민주당 ㅋㅋㅋㅋㅋㅋ		공포
233		헉 오마베......		공포
234		본인들은 정말 충격적이겠다..ㅠㅜ		공포
235		마티즈 광고인줄알았네;;		공포
236		쭝궈이 대단하다 예전의 짱꼴라가 아녀		공포
237		맨유동료중에 가장 저평가됐다고 생각하는 선수는 누구인가?루니 : 박지성이다.		공포
238		10회 정도 해야 왕조지..... 세네번으로 무슨왕조냐		공포
239		이노인네는 참		공포
240		뭔소리? 기아 대권도전하려면 아직 깜깜 멀었다 ㅡㅡ		공포
241		정말떳떳하다면 왜이리 OOO떨까 지발저린모습이네		공포
242		받아들인 삼성은 뭐지?		공포
243		여성부 예산 보다 적넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ		공포
244		대놓고싸우자는건가 ㅡㅡ;;;;		공포
245		0.056은 약한거 아니냐 지금 이용찬 정찬헌 정성훈 손영민 걸린거보면 싸그리다 취소수준인데		공포
246		공중파에서 시청률 잘나오려면 시도때도 없이직업 불문하고 연애질하면 됨		공포
247		한 골도 못 넣은게 오로지 선수 개개인의 자질 문제인데 또 감독탓 오지네 ㅎㅎ		공포
248		클라리넷은 알아도 클라라는 첨 들어봄..뭐하는거에요?		공포
249		김종차관은 이름값 너무 제대로 해버렸네		공포
250		순실이가 뒤봐줬는데 우리나라에서 마틴이가 못먹으면 그건 바보지		공포
251		서울 대학병원전문의가 ...참 무섭군		공포
252		참나.. 야메라니... 기가 막힌다..		공포
253		빛은 항상 켜두어야 하는건가		공포
254		역대급 거품 실력에비해 원클럽맨하나로 과대포장된 얘보다 스콜스 램파드가 훨씬 커리어가압도적인데		공포
255		담배보다 안해롭고 중독성도 없단다		공포
256		우리나라로 치면 허각이 당한것과 같은건가		공포
257		1쿼터 8:4 프로들 농구 점수 맞냐?		공포
258		아직도 장관직에 있나?		공포
259		내가 언제 똥을 주워먹었나 ㅡㅡ		공포
260		장애인 둘이 대화가 이어나가지나??		공포
261		컨택스윙해도 김태균보단 훨씬 넘기는데;;		공포
262		오성무를 죽이는 건 말도 안되는 억지.		공포
263		한국의 미네소타 트윈스???		공포
264		좌좀 손서키야 그게 어때서??		공포
265		뭐여..박근혜 구출작전이냐?		공포
266		삼적화가 기대 되는건 나뿐이냐?		공포
267		작품가가8만유론데 복원금액이 수백만 유로? 배보다 배꼽이 더크네		공포
268		기사 내용이 저거밖에 없어? ㅋㅋㅋㅋㅋ		공포
269		누가 업뎃도 안하는데 누가 살가요?		공포
270		언제 통계냈냐		공포
271		깡패가 따로없네ㅋ		공포
272		경기 안좋은데최고수치면 뭐지		공포
273		비행기 탑승은?		공포
274		나만 처음 듣는 상 이름이네. . .		공포
275		보아 연기했었나????		공포
276		진에어는 정시출발율도 높고, 대표공항들 지연율도 높은데 어떻게 저럴수가 있지?		공포
277		기자님 멕시코어가 아니라 스페인어라고 하는게 맞지 않나요?		공포
278		보다보다 이런 꼴은 50평생 처음이다		공포
279		일반인들 신검 하면 어디아프다고 말하면 서류 때오라고 하면서 찍소리도 안하고 1급준다 ㅋㅋㅋㅋ		공포
280		전술 문제야? 아니면 선수들 문제야?		공포
281		얘는 또부상당한겨 ㅋ 부상안당한날이없구만		공포
282		표정관리좀 해라.축제 분위기네.		공포
283		차우찬 황재균은 쟤들 급은 아닌데...		공포
284		중국산만 터진거처럼 얘기하네		공포
285		솔직히운전이어렵냐?ㅜㅡㅜ		공포
286		아니 전라도 욕하는게 왜 지역감정?		공포
287		이렇게 무턱대고 시위하면서. .		공포
288		별 세개 기업도 부자인데 왜 로켓 못쏴?		공포
289		산천어가 살지도 않는 화천에서 산천어 축제라니...		공포
290		2007년에도 음란소설이라고 벌금 받은건가?		공포
291		마크제이콥스 본 땄어.		공포
292		이게 진정한 양성평등이 맞는건가?		공포
293		진짜 뜬금포, ..		공포
294		황당한 기획과..		공포
295		완전 전데...?		공포
296		올겨울 들어 가장 추운 아침을 맞고 있습니다.?		공포
297		왜 저 얘기를 우리 빼놓고 하지?		공포
298		경영공백 우려한 불구속이라고??		공포
299		용도는 아닌데..		공포
300		무어라 할 말이 없네....		공포
301		국회의원이라고?		공포
302		불출석했으면서 자백강요?		공포
303		비교할사람이랑 비교를 해야지;;;;		공포
304		음.. 마광수 작품은 음란패설이 담긴 책이고, 참을 수 없는 존재의 가벼움은 명작이다?		공포
305		증거는..??????????		공포
306		일본 입장에서도 어이없을만하지 ㅋㅋㅋ		공포
307		스마트폰 화면 왼쪽 위에 있던 올레 이거 왜 KT로 바뀜?		공포
308		정부 관계자는 마치 3자인것처럼 얘기하네		공포
309		연예대상이 무한도전 공로상인것처럼 말하네		공포
310		그러면 즐라탄은?		공포
311		이렇게 되면... 누군가..... sbs에..... 죽을 때까지 못 나오는 거 아님? ㅋㅋ		공포
312		혹은 생각처럼안될수 있는거 아닌가~		공포
313		진짜 허탈하네요		공포
314		나만 그런가????		공포
315		엥? 여기 네이버 뉴스맞냐?		공포
316		그럼 무슨 문제 될게 있나?		공포
317		아직 애기라 그런지목소리가 넘 앵앵거려서 수지 목소리가 원래 저랬나 했음		공포
318		좋은 거야 나쁜거야 ㅋ		공포
319		왜색논란?		공포
320		정부랑 여가부가 게임 다 죽인거 아닌가?		공포
321		여러카페에 너무많이올라가서 삭제도안돼요ㅠㅠ		공포
322		오늘 당장 저희 부모님께 말씀드리러 가네요....		공포
323		그럼 안되는데...		공포
324		다 괜찮은거 같은데?4대보험이 없다고 하더라구요;		공포
325		왜이런거죠??		공포
326		마법의기간중에 이런적은 처음이네요....		공포
327		그렇다고 매달린적도 없는데...		공포
328		왜? 갑자기??? 궁금해요		공포
329		도통 여성  스러운게 뭘까		공포
330		바로 질초음파를 하더라고여...		공포
331		어떻게 받아들여야 하나요		공포
332		ㄷㄷ?ㅠ 일요일아침만 맨날이럼		공포
333		네일설전날에중국에서해는데지금까지안지워짐		공포
334		남들은 다 아는 애니라서 그 애니에 대해 농담도하고그러는데.		공포
335		월급은어덯게줄까요 ..		공포
336		어떻게 해야 토요일 오전09시에 끝날수있는건가요?		공포
337		우리나라의 현실이 이렇게 심할줄은 몰랐음..		공포
338		근데 문제가 저희 휴가증 체계가 바꿔어가지고..		공포
339		아침에 전화가 왔는데..		공포
340		너한테 실컷 욕했는데..		공포
341		저는 받지 않았는데요..		공포
342		어쩌다가 베스트 되었네요........식구들한테는 말도못하고..........		공포
343		지난 주말에 첫키스했는데...빠른건가요?		공포
344		다른 회사도 이런가요?		공포
345		아 슈발근데 학교 가야 하나용..?0		공포
346		어느게 정액제고 그렇다면 나머진 하난 뭐죠?		공포
347		전여친이 저와 싸우고 상메에 이렇게써놨는데 무슨뜻인가요..		공포
348		되는건가요?		공포
349		이렇게 하는게 정상인가요?		공포
350		제가이상한거에요?		공포
351		웃자고 한애기에 죽자고 달라드는 상황 아닌가요?ㅎㅎ		공포
352		내가 김제동이에요?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ		공포
353		세월이 사람을 아이돌빠로 만드네요...ㅠ0		공포
354		ㅎㅎㅎㅎ 나 근데 잠와...ㅎ		공포
355		어떤식으로해야하지..		공포
356		이런말은없는데;;(알바천국 나온거보니 알바개념도 될듯하네요		공포
357		사진을 도용당햇어요		공포
358		어떻게 해야할까요.		공포
359		저는 초등학교 6학년이고 제가 5학년이 제가무섭다는 소문도 듣고 날라리라는 이야기를 오늘들었어요...		공포
360		이럴땐 또 어떡해야 되는지;		공포
361		어떠캄 자주 올것만 같음...		공포
362		그런 사람들의 심리는 도대체 뭔가요?		공포
363		이게 무슨 말이죠;;?		공포
364		연애중은 내렸는데 친구는 안끊네여..		공포
365		사장님 불러야하나?		공포
366		혼자막 꽃단장해서 간다거나;		공포
367		어떻게 마무리하쥐.		공포
368		ㅅㅄㅂ? 이거 어케해야함..?		공포
369		사람들이 군인들은 제대하고 나면 여자친구도 차버린다고 하던데..		공포
370		체육바지같은게 없는데 어떡해야할까요??		공포
371		가운데서 애매해서 어찌해야할지 모르겠네요..		공포
372		일하는데 담배 안핀다고 하니까..		공포
373		남친이 오늘따라 성욕구이넘치나봐요.		공포
374		딸은 유치원에서 선생님께 욕했다네요		공포
375		아 어떡하죠		공포
376		이런 생각이나 할텐데자기를 음란하게 생각할텐데누가 자기 다리 쳐다보는건 싫어하면서 짧은 치마는 왜 입는건지?0		공포
377		감정이 앞서서 빨리 잊고싶다는 생각듬...이런거는 뭐죠..?		공포
378		제목그대로 썸녀라고 생각한 친구에게 어느날 남자친구가 생기면 어떨꺼같아요??		공포
379		뭘로 고를지 요즘넘고민이예요ㅎ		공포
380		이거 어케해야함?		공포
381		요번주만해도 여자두명이랑연락햇는데 친구추천에 두명다떠서 당황;		공포
382		이랬는데 언니가  안녕히 가세요		공포
383		안녕하세요~방제이탈인지 몰겠네요^^;;		공포
384		지금 이순간 너무 심심한게 고민이네요..;;		공포
385		근데 그여자는 애가둘이 있네요		공포
386		언니들은 그런 상황이 왔을 때  상대방한테 무슨 생각이 들어요??		공포
387		논산만 그러나 ..		공포
388		대체왜 거기서 그러고 가는거에요?		공포
389		항상 면회만가봤지 외박나와서 데이트하는건 처음이라서 어디를 가얄지 모르겠어요ㅠㅠ		공포
390		그덕에 좋아하는 분까지도 싫어하는 줄오해받은 상황....		공포
391		아웅 ㅠ둘중에 뭘로하져..?		공포
392		근데,막상하니까,또 잘안되더라구요..		공포
393		왜이러는거죠		공포
394		제가 번호물어봤는데 얘기하다가 여자분 아버지분이신지 오셔서 가자고 하더라구요..		공포
395		아니야정말 그런의미일수도있어  또기대하게되고..		공포
396		다른 손님들도 보고 있는데?		공포
397		어리지도 많지도 않은 애매한 나이인것같아요		공포
398		누가봐도 그 동생이 좋아하는 건데 자기는 아니라고 하더라고요.		공포
399		이번방학에 토스 해보려고 하는데요인강은 제가 잘 할수있을지 모르겠어요;;		공포
400		흠 뭐라고 해야 할까여?0		공포
401		라고 말씀드리면 될까요..??		공포
402		만약 제가 먼저 편지를 보내면 걔는 어떻게 생각할까요?		공포
403		관장할때 아프다는 분들이 있던데 어떡해 하길래 아파요??		공포
404		근데 내가 이거 나오냐고 카메라를 들어갈라다가 실수로 게임을 눌림		공포
405		일주일에 한번씩 전화 오다가 이틀에 한번씩 올때도 있구여..		공포
406		다른게 아니라, 제가 이상한건지 해서요.		공포
407		물어줘야하나영 엉엉0		공포
408		아직 회사에 아가 있다고 말도 못했는데 ㅜ잉 ㅠㅠ		공포
409		프로필사진에는 아랍인처럼 안생겼던데..		공포
410		주차장 상태상 시야확보가 되질 않아서..		공포
411		여태까지 많은 회사를 다녔어도 정상인인과장님을 찾기란 어려웠음;;;;		공포
412		참 혼란스럽달까요?		공포
413		그런데집에서는 자꾸 월급이 얼만지 얼마나 모았는지를물어보라는데.......		공포
414		카톡 차단 풀린줄 알고 전화했는데 여전히 차단이네요		공포
415		자기가 일 못하고 있는것도 제 탓이라고 하고 가버리네요		공포
416		오늘 대뜸 전화 오더니만 니 통장이 잘못됬다		공포
417		웨이트 열심히 하는여자 이상한가요?????????? ???		공포
418		여태까지의  당신의 선택이  당신을 다시 태어난 것 처럼 힘솟게 했나요...		공포
419		이거 외엔 기억이 안나네요.0		공포
420		자긴 결혼을 못할거라며 부모님 도움 받지않을거라던 사람이..무슨 사정이 있는지는 모르겠지만...		공포
421		아니근데..신입인거 알고 연락을줬을텐데..		공포
422		운동하는데 단백질섭취때문에 먹어보려 하는데별루인가요?		공포
423		처음보는 닉밖에 없음ㅇㅇ어쩌죠??0		공포
424		11월에 수료식인데 엄마 생신이랑 겹쳤어요ㅠ		공포
425		군대 가기 전까지는 진짜 아무일 없이 친구사이였다가도군대가고나면 너무 외로워서그 친구가 여자로 보이고좋게?		공포
426		모임에서 번호 따가놓고전화도 많이하고 카톡도 많이하고그러더니다시 만나고 연락 없는건 뭘까		공포
427		다른분들은 ....?		공포
428		또안없어지니까 또하더라구요;		공포
429		망설여지네요		공포
430		아니 썸타던 남자애한테 정말 맘먹고 고백 했는데 뭐 자기 혼란스럽다		공포
431		친구가 정신병같다고 병원가라는데 진심 이게 병원갈정도 인가여		공포
432		나에대한 내신상를 캐묻지 않나...		공포
433		애기들이 좋아하는 맛은 아니였어요ㅋㅋㅋ		공포
434		26인치인가 28인치인가 그렇더군요..;;;		공포
435		원래 야간알바들 이런가요?;;		공포
436		그래서 여기서말한거와달리 엄청 쳐다보기도 했다.		공포
437		근데 남자친구가 집이 잘사는것도 아니고...		공포
438		아 제가 너무 변태같네여 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ		공포
439		아무것두아니고..		공포
440		이렇게 우유부단해서 연애는어떻게할지 모르겠어요 ㅠㅠ		공포
441		남자친구가 어디든지..?놀러가고싶다구 그래서요;;		공포
442		감정에 휘둘리다니!1		공포
443		이렇게 얘기하는데남자친구는 너네엄마가 뭐뭐하겠다이렇게 얘길 하더라구요		공포
444		근데 생각해보니정말로면접만 보러 다니는 것만해도...		공포
445		그래서 잘 치는 건지...		공포
446		신인개그맨 이상이 되어야 가능한가보네요.   -_-;;;		공포
447		삼성한테 3연패로 드림리그 3위인 삼성과 승률차이가 너무많이 나네요...		공포
448		방 없으니까 왠지 이질감이 ;;		공포
449		다른사람 생겼는지 등을 다른사람에게 물어본걸 전남친이 알게되면 기분이 나쁜가요 그게?		공포
450		글타고 통증은 없는데34살인데 뿌그덕;;;;		공포
451		20대 초반까진 안그랫는데1		공포
452		제생각엔 둘다 그래픽쪽이나 성능은 비슷하다고 보는데 친구는 너무 엑박쪽을 몰아세우네요..		공포
453		술먹고 깨서 또자고;		공포
454		어찌할바를 모르겠어요		공포
455		마이피좀 관리하려고 하는데..글쓰는데에 삭제밖에 없어요..		공포
456		그러명서 사귀자는데 어캐해야되?		공포
457		월레이런가여?;;		공포
458		상황마다 다른가요?		공포
459		고수님들 도와주세요		공포
460		인수인계도 못받고 일한지 사개월 되었네요.		공포
461		치약을 바꿨다거나 하지도 않았어요.		공포
462		하나? 글이 왜 저럼		공포
463		1시 반에 입대인데난여기서 뭐하는건지 모르겟네;;		공포
464		저말에 의미 두면 안되겠죠...?		공포
465		이걸 써먹어서 비대님에게 메롱이라고 하다니..-ㅁ-+++ 쩝..제 닉넴을 또 누가..-ㅁ-;;		공포
466		다른 뮤지션과 함동공연이라서 형대가 피날레일 줄은 몰랐어요. ^^(댓글로)		공포
467		(가발쓰는 아나운서가 몸을 틀으라는데 가발을 옆으로 돌렸다는...-.-;) ㅋㅋ		공포
468		역시월요일은 지하철에사람이많아요.....		공포
469		으아아아 시간이 얼마안남았어요!		공포
470		클스마스공연에 와요??;		공포
471		힘든 순간들이 매 있겠지만..		공포
472		개인적으로 유느님 받아서 좋지만. 올해는 정준하를 주는게... 조금은 더 의미 있는 상이 아니였나 싶다.		공포
473		순간 손에들고있는 마가X트 보고움찔하고들어왔다		공포
474		모야 인터뷰 읽었는데 대체 저기에서 뭐가 논란거리야???????		공포
475		기억 못하는게 아니라 기억하기 곤란한 거 아닐까?		공포
476		블랙리스트 작성도 죄가 되나?		공포
